,0
1299,Positive
1300,Positive
1301,Neutral
1302,Negative
1303,Positive
1304,Positive
1305,Neutral
1306,Positive
1307,Positive
1308,Negative
1309,Positive
1310,Neutral
1311,Positive
1312,Positive
1313,Negative
1314,Negative
1315,Neutral
1316,Positive
1317,Positive
1318,Neutral
1319,Negative
1320,Neutral
1321,Positive
1322,Negative
1323,Positive
1324,Positive
1325,Positive
1326,Positive
1327,Negative
1328,Positive
1329,Positive
1330,Positive
1331,Positive
1332,Positive
1333,Neutral
1334,Positive
1335,Positive
1336,Negative
1337,Negative
1338,Positive
1339,Positive
1340,Positive
1341,Positive
1342,Neutral
1343,Positive
1344,Positive
1345,Positive
1346,Positive
1347,Negative
1348,Negative
1349,Positive
1350,Positive
1351,Negative
1352,Positive
1353,Positive
1354,Positive
1355,Positive
1356,Positive
1357,Positive
1358,Positive
1359,Neutral
1360,Neutral
1361,Negative
1362,Positive
1363,Neutral
1364,Positive
1365,Positive
1366,Positive
1367,Positive
1368,Positive
1369,Positive
1370,Positive
1371,Positive
1372,Positive
1373,Positive
1374,Neutral
1375,Positive
1376,Positive
1377,Neutral
1378,Positive
1379,Positive
1380,Neutral
1381,Positive
1382,Positive
1383,Positive
1384,Positive
1385,Negative
1386,Negative
1387,Neutral
1388,Negative
1389,Positive
1390,Positive
1391,Neutral
1392,Positive
1393,Negative
1394,Negative
1395,Positive
1396,Positive
1397,Positive
1398,Positive
1399,Negative
1400,Positive
1401,Positive
1402,Negative
1403,Positive
1404,Positive
1405,Negative
1406,Positive
1407,Positive
1408,Positive
1409,Negative
1410,Positive
1411,Positive
1412,Positive
1413,Positive
1414,Neutral
1415,Positive
1416,Neutral
1417,Positive
1418,Positive
1419,Negative
1420,Negative
1421,Positive
1422,Neutral
1423,Positive
1424,Positive
1425,Neutral
1426,Positive
1427,Negative
1428,Positive
1429,Positive
1430,Neutral
1431,Negative
1432,Positive
1433,Positive
1434,Positive
1435,Neutral
1436,Positive
1437,Negative
1438,Positive
1439,Positive
1440,Neutral
1441,Positive
1442,Negative
1443,Neutral
1444,Positive
1445,Positive
1446,Positive
1447,Positive
1448,Negative
1449,Positive
1450,Positive
1451,Negative
1452,Neutral
1453,Positive
1454,Negative
1455,Negative
1456,Negative
1457,Positive
1458,Positive
1459,Negative
1460,Negative
1461,Positive
1462,Positive
1463,Positive
1464,Positive
1465,Positive
1466,Negative
1467,Negative
1468,Neutral
1469,Positive
1470,Negative
1471,Positive
1472,Negative
1473,Negative
1474,Neutral
1475,Positive
1476,Positive
1477,Positive
1478,Negative
1479,Positive
1480,Positive
1481,Positive
1482,Positive
1483,Negative
1484,Negative
1485,Positive
1486,Positive
1487,Positive
1488,Negative
1489,Positive
1490,Neutral
1491,Positive
1492,Neutral
1493,Positive
1494,Positive
1495,Positive
1496,Positive
1497,Positive
1498,Neutral
1499,Neutral
1500,Positive
1501,Neutral
1502,Negative
1503,Positive
1504,Positive
1505,Negative
1506,Positive
1507,Neutral
1508,Positive
1509,Positive
1510,Negative
1511,Positive
1512,Negative
1513,Positive
1514,Neutral
1515,Neutral
1516,Positive
1517,Negative
1518,Positive
1519,Neutral
1520,Positive
1521,Positive
1522,Negative
1523,Positive
1524,Neutral
1525,Positive
1526,Positive
1527,Positive
1528,Negative
1529,Negative
1530,Positive
1531,Positive
1532,Positive
1533,Positive
1534,Negative
1535,Positive
1536,Positive
1537,Negative
1538,Neutral
1539,Positive
1540,Negative
1541,Positive
1542,Positive
1543,Negative
1544,Negative
1545,Positive
1546,Neutral
1547,Positive
1548,Positive
1549,Negative
1550,Positive
1551,Positive
1552,Neutral
1553,Neutral
1554,Positive
1555,Negative
1556,Positive
1557,Positive
1558,Positive
1559,Negative
1560,Positive
1561,Positive
1562,Positive
1563,Positive
1564,Positive
1565,Negative
1566,Positive
1567,Neutral
1568,Positive
1569,Positive
1570,Positive
1571,Positive
1572,Positive
1573,Positive
1574,Neutral
1575,Positive
1576,Positive
1577,Positive
1578,Positive
1579,Negative
1580,Positive
1581,Neutral
1582,Negative
1583,Negative
1584,Negative
1585,Negative
1586,Neutral
1587,Positive
1588,Positive
1589,Positive
1590,Positive
1591,Positive
1592,Negative
1593,Positive
1594,Positive
1595,Negative
1596,Positive
1597,Neutral
1598,Positive
1599,Positive
1600,Positive
1601,Positive
1602,Positive
1603,Positive
1604,Negative
1605,Positive
1606,Positive
1607,Positive
1608,Positive
1609,Positive
1610,Neutral
1611,Positive
1612,Positive
1613,Positive
1614,Positive
1615,Positive
1616,Negative
1617,Negative
1618,Neutral
1619,Neutral
1620,Positive
1621,Positive
1622,Neutral
1623,Positive
1624,Positive
1625,Positive
1626,Negative
1627,Neutral
1628,Negative
1629,Negative
1630,Positive
1631,Neutral
1632,Positive
1633,Negative
1634,Positive
1635,Negative
1636,Positive
1637,Positive
1638,Negative
1639,Negative
1640,Negative
1641,Positive
1642,Neutral
1643,Positive
1644,Negative
1645,Negative
1646,Positive
1647,Positive
1648,Positive
1649,Positive
1650,Positive
1651,Positive
1652,Negative
1653,Positive
1654,Positive
1655,Neutral
1656,Positive
1657,Positive
1658,Positive
1659,Neutral
1660,Positive
1661,Positive
1662,Positive
1663,Neutral
1664,Positive
1665,Positive
1666,Positive
1667,Negative
1668,Negative
1669,Positive
1670,Positive
1671,Negative
1672,Negative
1673,Positive
1674,Positive
1675,Positive
1676,Negative
1677,Positive
1678,Negative
1679,Positive
1680,Positive
1681,Neutral
1682,Negative
1683,Neutral
1684,Positive
1685,Positive
1686,Positive
1687,Positive
1688,Negative
1689,Positive
1690,Neutral
1691,Neutral
1692,Negative
1693,Negative
1694,Positive
1695,Neutral
1696,Negative
1697,Negative
1698,Positive
1699,Neutral
1700,Positive
1701,Neutral
1702,Positive
1703,Negative
1704,Positive
1705,Neutral
1706,Positive
1707,Positive
1708,Positive
1709,Positive
1710,Positive
1711,Positive
1712,Positive
1713,Positive
1714,Negative
1715,Positive
1716,Positive
1717,Positive
1718,Negative
1719,Positive
1720,Positive
1721,Positive
1722,Negative
1723,Positive
1724,Positive
1725,Negative
1726,Positive
1727,Positive
1728,Positive
1729,Positive
1730,Neutral
1731,Positive
1732,Positive
1733,Positive
1734,Positive
1735,Positive
1736,Negative
1737,Positive
1738,Positive
1739,Positive
1740,Positive
1741,Positive
1742,Positive
1743,Positive
1744,Positive
1745,Positive
1746,Positive
1747,Positive
1748,Positive
1749,Positive
1750,Positive
1751,Positive
1752,Negative
1753,Positive
1754,Negative
1755,Positive
1756,Positive
1757,Positive
1758,Negative
1759,Positive
1760,Positive
1761,Negative
1762,Negative
1763,Positive
1764,Positive
1765,Positive
1766,Neutral
1767,Positive
1768,Positive
1769,Positive
1770,Positive
1771,Positive
1772,Positive
1773,Positive
1774,Positive
1775,Neutral
1776,Neutral
1777,Positive
1778,Positive
1779,Positive
1780,Positive
1781,Positive
1782,Negative
1783,Positive
1784,Positive
1785,Negative
1786,Negative
1787,Neutral
1788,Positive
1789,Positive
1790,Positive
1791,Positive
1792,Positive
1793,Positive
1794,Negative
1795,Positive
1796,Positive
1797,Neutral
1798,Neutral
1799,Neutral
1800,Positive
1801,Positive
1802,Positive
1803,Positive
1804,Positive
1805,Neutral
1806,Positive
1807,Positive
1808,Positive
1809,Positive
1810,Positive
1811,Positive
1812,Positive
1813,Positive
1814,Positive
1815,Neutral
1816,Negative
1817,Positive
1818,Positive
1819,Positive
1820,Positive
1821,Positive
1822,Positive
1823,Positive
1824,Positive
1825,Negative
1826,Negative
1827,Positive
1828,Positive
1829,Positive
1830,Neutral
1831,Positive
1832,Neutral
1833,Positive
1834,Positive
1835,Positive
1836,Positive
1837,Positive
1838,Neutral
1839,Positive
1840,Neutral
1841,Positive
1842,Positive
1843,Positive
1844,Positive
1845,Positive
1846,Positive
1847,Positive
1848,Positive
1849,Positive
1850,Negative
1851,Positive
1852,Positive
1853,Positive
1854,Positive
1855,Positive
1856,Neutral
1857,Neutral
1858,Neutral
1859,Positive
1860,Negative
1861,Positive
1862,Neutral
1863,Positive
1864,Positive
1865,Positive
1866,Positive
1867,Neutral
1868,Negative
1869,Negative
1870,Positive
1871,Positive
1872,Positive
1873,Neutral
1874,Positive
1875,Positive
1876,Negative
1877,Positive
1878,Neutral
1879,Negative
1880,Positive
1881,Positive
1882,Negative
1883,Positive
1884,Negative
1885,Positive
1886,Neutral
1887,Positive
1888,Negative
1889,Positive
1890,Positive
1891,Positive
1892,Positive
1893,Positive
1894,Negative
1895,Positive
1896,Positive
1897,Positive
1898,Positive
1899,Negative
1900,Positive
1901,Positive
1902,Negative
1903,Neutral
1904,Positive
1905,Positive
1906,Positive
1907,Positive
1908,Neutral
1909,Positive
1910,Positive
1911,Negative
1912,Positive
1913,Positive
1914,Positive
1915,Positive
1916,Positive
1917,Positive
1918,Positive
1919,Neutral
1920,Neutral
1921,Neutral
1922,Negative
1923,Positive
1924,Positive
1925,Positive
1926,Positive
1927,Positive
1928,Positive
1929,Negative
1930,Positive
1931,Negative
1932,Positive
1933,Positive
1934,Positive
1935,Positive
1936,Neutral
1937,Negative
1938,Neutral
1939,Negative
1940,Neutral
1941,Positive
1942,Positive
1943,Negative
1944,Positive
1945,Neutral
1946,Positive
1947,Negative
1948,Positive
1949,Positive
1950,Neutral
1951,Positive
1952,Positive
1953,Negative
1954,Positive
1955,Neutral
1956,Neutral
1957,Negative
1958,Negative
1959,Neutral
1960,Neutral
1961,Positive
1962,Positive
1963,Negative
1964,Positive
1965,Positive
1966,Positive
1967,Positive
1968,Positive
1969,Negative
1970,Negative
1971,Positive
1972,Negative
1973,Positive
1974,Positive
1975,Positive
1976,Positive
1977,Positive
1978,Positive
1979,Positive
1980,Positive
1981,Negative
1982,Negative
1983,Positive
1984,Positive
1985,Positive
1986,Positive
1987,Negative
1988,Positive
1989,Positive
1990,Negative
1991,Negative
1992,Negative
1993,Positive
1994,Positive
1995,Positive
1996,Positive
1997,Positive
1998,Positive
1999,Negative
2000,Positive
2001,Neutral
2002,Neutral
2003,Positive
2004,Negative
2005,Positive
2006,Positive
2007,Positive
2008,Neutral
2009,Positive
2010,Positive
2011,Negative
2012,Positive
2013,Positive
2014,Negative
2015,Positive
2016,Positive
2017,Negative
2018,Positive
2019,Positive
2020,Neutral
2021,Negative
2022,Positive
2023,Positive
2024,Positive
2025,Positive
2026,Positive
2027,Positive
2028,Positive
2029,Positive
2030,Positive
2031,Positive
2032,Positive
2033,Neutral
2034,Positive
2035,Neutral
2036,Positive
2037,Positive
2038,Negative
2039,Positive
2040,Positive
2041,Positive
2042,Positive
2043,Positive
2044,Positive
2045,Positive
2046,Positive
2047,Positive
2048,Negative
2049,Positive
2050,Neutral
2051,Positive
2052,Positive
2053,Positive
2054,Negative
2055,Positive
2056,Positive
2057,Negative
2058,Positive
2059,Positive
2060,Negative
2061,Negative
2062,Positive
2063,Negative
2064,Positive
2065,Positive
2066,Positive
2067,Positive
2068,Positive
2069,Positive
2070,Neutral
2071,Positive
2072,Positive
2073,Neutral
2074,Positive
2075,Negative
2076,Positive
2077,Neutral
2078,Positive
2079,Positive
2080,Negative
2081,Positive
2082,Positive
2083,Positive
2084,Positive
2085,Neutral
2086,Positive
2087,Positive
2088,Positive
2089,Neutral
2090,Negative
2091,Positive
2092,Positive
2093,Positive
2094,Positive
2095,Positive
2096,Positive
2097,Neutral
2098,Positive
